Nationality,Positions,Best Position,Field Position,Name,Age,Height,Weight,Club,Start Year,End Year,↓OVA,POT,Value,Value_int,Wage,Wage_amt,Release Clause
Serbia,"CF, LW, CAM",CF,ATT,D. Tadić,31,181cm,76kg,Ajax,2018,2023,83,83,€30.5M,30500000.0,€30K,30000.0,€32.9M
France,"CDM, CM",CDM,MID,B. Matuidi,33,180cm,75kg,Inter Miami,2020,2021,83,83,€18M,18000000.0,€14K,14000.0,€18.8M
England,RB,RB,DEF,K. Trippier,29,173cm,69kg,Atlético Madrid,2019,2022,83,83,€32M,32000000.0,€71K,71000.0,€44.1M
Spain,"RB, CM",RB,DEF,Sergi Roberto,28,178cm,68kg,FC Barcelona,2013,2022,83,83,€33M,33000000.0,€175K,175000.0,€45.1M
Portugal,GK,GK,GK,A. Lopes,29,184cm,81kg,Olympique Lyonnais,2011,2023,83,84,€28M,28000000.0,€69K,69000.0,€41.5M
Chile,"CDM, CM",CDM,MID,C. Aránguiz,31,171cm,70kg,Bayer 04 Leverkusen,2015,2023,83,83,€25.5M,25500000.0,€79K,79000.0,€33.2M
Cameroon,CB,CB,DEF,J. Matip,28,194cm,90kg,Liverpool,2016,2024,83,84,€34.5M,34500000.0,€115K,115000.0,€49.1M
Spain,GK,GK,GK,Aitor,29,182cm,78kg,Levante UD,2018,2023,83,83,€25M,25000000.0,€31K,31000.0,€38.9M
France,ST,ST,ATT,A. Lacazette,29,176cm,77kg,Arsenal,2017,2022,83,83,€36.5M,36500000.0,€125K,125000.0,€49.4M
Ivory Coast,"LM, CF",LM,MID,W. Zaha,27,180cm,66kg,Crystal Palace,2015,2023,83,83,€38.5M,38500000.0,€82K,82000.0,€51.3M
Greece,CB,CB,DEF,K. Manolas,29,189cm,83kg,Napoli,2019,2024,83,84,€33.5M,33500000.0,€84K,84000.0,€43.5M
Finland,GK,GK,GK,L. Hrádecký,30,192cm,82kg,Bayer 04 Leverkusen,2018,2023,83,83,€24M,24000000.0,€64K,64000.0,€29.8M
Spain,"LW, CAM, RW",LW,ATT,Muniain,27,170cm,66kg,Athletic Club de Bilbao,2009,2024,83,83,€38.5M,38500000.0,€41K,41000.0,€56.7M
Brazil,"CAM, LW, CM",CAM,MID,Coutinho,28,172cm,68kg,FC Barcelona,2018,2023,83,83,€36.5M,36500000.0,€190K,190000.0,€53.3M
Brazil,"CAM, CM, LW",CAM,MID,Oscar,28,179cm,66kg,Shanghai SIPG FC,2017,2024,83,83,€36.5M,36500000.0,€25K,25000.0,€41.6M
Belgium,GK,GK,GK,K. Casteels,28,197cm,86kg,VfL Wolfsburg,2015,2024,83,85,€31M,31000000.0,€53K,53000.0,€39.9M
Italy,CB,CB,DEF,F. Acerbi,32,192cm,88kg,Lazio,2018,2023,83,83,€23.5M,23500000.0,€75K,75000.0,€28.1M
Germany,"CM, CDM",CM,MID,I. Gündoğan,29,180cm,80kg,Manchester City,2016,2023,83,83,€35.5M,35500000.0,€160K,160000.0,€46.3M
Germany,GK,GK,GK,K. Trapp,29,189cm,88kg,Eintracht Frankfurt,2019,2024,83,83,€25M,25000000.0,€35K,35000.0,€31.5M
Brazil,"CM, CAM, CDM",CM,MID,Paulinho,31,183cm,80kg,Guangzhou Evergrande Taobao FC,2019,2023,83,83,€30M,30000000.0,€39K,39000.0,€35.2M
Spain,LB,LB,DEF,Yuri Berchiche,30,181cm,80kg,Athletic Club de Bilbao,2018,2022,83,83,€31.5M,31500000.0,€35K,35000.0,€43.1M
Brazil,"CM, CDM",CDM,MID,Allan,29,175cm,74kg,Everton,2020,2023,83,83,€35.5M,35500000.0,€115K,115000.0,€47.5M
Chile,"CM, CDM, CAM",CM,MID,A. Vidal,33,180cm,75kg,Inter,2020,2022,83,83,€22.5M,22500000.0,€125K,125000.0,€25.5M
Bosnia Herzegovina,ST,ST,ATT,E. Džeko,34,193cm,80kg,Roma,2015,2022,83,83,€17.5M,17500000.0,€39K,39000.0,€28.4M
Belgium,"CAM, CM, CF",CDM,MID,R. Nainggolan,32,176cm,65kg,Inter,2018,2022,83,83,€29M,29000000.0,€125K,125000.0,€34M
Brazil,LB,LB,DEF,Marcelo,32,174cm,75kg,Real Madrid,2007,2022,83,83,€25M,25000000.0,€170K,170000.0,€32.8M
Wales,RW,RW,ATT,G. Bale,30,185cm,82kg,Tottenham Hotspur,Jun ,Loan,83,83,€35M,35000000.0,€200K,200000.0,€0
Argentina,"CM, CDM",CM,MID,E. Banega,32,174cm,71kg,Al Shabab,2020,2023,83,83,€28.5M,28500000.0,€55K,55000.0,€33.2M
Belgium,"CB, LB",CB,DEF,J. Vertonghen,33,189cm,86kg,SL Benfica,2020,2023,83,83,€17.5M,17500000.0,€21K,21000.0,€24M
France,GK,GK,GK,S. Mandanda,35,185cm,82kg,Olympique de Marseille,2017,2024,83,83,€4M,4000000.0,€28K,28000.0,€13.3M
Sweden,ST,ST,ATT,Z. Ibrahimović,38,195cm,95kg,Milan,2020,2021,83,83,€12.5M,12500000.0,€49K,49000.0,€16.2M
Mexico,"RW, LW, CAM",RW,ATT,C. Vela,31,177cm,77kg,Los Angeles FC,2018,2022,83,83,€30M,30000000.0,€17K,17000.0,€33.8M
Portugal,CM,CM,MID,João Moutinho,33,170cm,61kg,Wolverhampton Wanderers,2018,2022,83,83,€22.5M,22500000.0,€110K,110000.0,€28.5M
Argentina,ST,ST,ATT,G. Higuaín,32,186cm,89kg,Inter Miami,2020,2021,83,83,€29.5M,29500000.0,€17K,17000.0,€30.8M
Brazil,"CM, CAM, LM",CM,MID,Renato Augusto,32,186cm,86kg,Beijing Sinobo Guoan FC,2016,2021,83,83,€28.5M,28500000.0,€33K,33000.0,€31.2M
France,"CB, LB",CB,DEF,L. Hernández,24,182cm,76kg,FC Bayern München,2019,2024,82,87,€41.5M,41500000.0,€70K,70000.0,€45.7M
Togo,CB,CB,DEF,D. Djené,28,178cm,72kg,Getafe CF,2017,2023,82,83,€29M,29000000.0,€39K,39000.0,€46.8M
France,"RW, RM",RW,ATT,F. Thauvin,27,179cm,70kg,Olympique de Marseille,2017,2021,82,82,€32.5M,32500000.0,€59K,59000.0,€43.7M
Czech Republic,GK,GK,GK,J. Pavlenka,28,196cm,81kg,SV Werder Bremen,2017,2022,82,83,€24M,24000000.0,€32K,32000.0,€34.7M
Brazil,CB,CB,DEF,Josué Chiamulera,28,185cm,80kg,Grêmio,2019,2023,82,82,€26.5M,26500000.0,€41K,41000.0,€37.1M
Argentina,"CM, CAM",CAM,MID,G. Lo Celso,24,177cm,68kg,Tottenham Hotspur,2020,2025,82,87,€46M,46000000.0,€95K,95000.0,€57.3M
Spain,"CM, RM, ST",CM,MID,Marcos Llorente,25,184cm,74kg,Atlético Madrid,2019,2024,82,85,€40M,40000000.0,€65K,65000.0,€58.4M
Ivory Coast,"RM, RW",LM,MID,N. Pépé,25,183cm,73kg,Arsenal,2019,2024,82,85,€40.5M,40500000.0,€100K,100000.0,€55.3M
Austria,"CDM, CM, RB",CDM,MID,K. Laimer,23,180cm,72kg,RB Leipzig,2017,2023,82,86,€40M,40000000.0,€53K,53000.0,€46.2M
Portugal,CM,CM,MID,Rúben Neves,23,180cm,80kg,Wolverhampton Wanderers,2017,2023,82,87,€46M,46000000.0,€89K,89000.0,€57.3M
Spain,GK,GK,GK,David Soria,27,192cm,85kg,Getafe CF,2018,2022,82,84,€28M,28000000.0,€30K,30000.0,€40.2M
Germany,LM,LM,MID,R. Gosens,25,183cm,76kg,Atalanta,2017,2022,82,82,€34M,34000000.0,€68K,68000.0,€40.8M
Spain,"LW, RW",CAM,MID,Marco Asensio,24,182cm,76kg,Real Madrid,2015,2023,82,86,€43.5M,43500000.0,€160K,160000.0,€61.6M
Belgium,LM,LM,MID,Y. Carrasco,26,185cm,73kg,Atlético Madrid,2020,2024,82,82,€33.5M,33500000.0,€68K,68000.0,€49.2M
Spain,"LB, LM",LB,DEF,Reguilón,23,178cm,68kg,Tottenham Hotspur,2020,2025,82,89,€58M,58000000.0,€85K,85000.0,€57.8M
Croatia,"ST, CAM",ST,ATT,A. Kramarić,29,177cm,73kg,TSG 1899 Hoffenheim,2015,2022,82,82,€30.5M,30500000.0,€56K,56000.0,€37.4M
Netherlands,"CAM, LW, ST",CAM,MID,Q. Promes,28,174cm,72kg,Ajax,2019,2024,82,82,€30.5M,30500000.0,€26K,26000.0,€31.5M
France,GK,GK,GK,M. Maignan,24,191cm,91kg,LOSC Lille,2015,2022,82,86,€34.5M,34500000.0,€31K,31000.0,€42.5M
Argentina,"RW, LW",ST,ATT,L. Ocampos,25,188cm,84kg,Sevilla FC,2019,2024,82,83,€36.5M,36500000.0,€40K,40000.0,€57.6M
Spain,GK,GK,GK,Kepa,25,186cm,88kg,Chelsea,2018,2024,82,86,€33.5M,33500000.0,€76K,76000.0,€41.5M
Germany,"CM, CDM",CB,DEF,E. Can,26,186cm,86kg,Borussia Dortmund,2020,2024,82,84,€37.5M,37500000.0,€72K,72000.0,€47M
Germany,CB,CB,DEF,M. Ginter,26,191cm,86kg,Borussia Mönchengladbach,2017,2022,82,83,€31.5M,31500000.0,€48K,48000.0,€40.8M
Spain,GK,GK,GK,Pacheco,28,186cm,81kg,Deportivo Alavés,2015,2023,82,84,€26M,26000000.0,€28K,28000.0,€42.4M
Germany,"LB, CB, LWB",LB,DEF,M. Halstenberg,28,188cm,87kg,RB Leipzig,2015,2022,82,82,€27.5M,27500000.0,€65K,65000.0,€32.3M
Brazil,"CAM, RW",CAM,MID,Anderson Talisca,26,190cm,80kg,Guangzhou Evergrande Taobao FC,2019,2022,82,85,€40M,40000000.0,€36K,36000.0,€46.1M
Argentina,"RM, ST",CAM,MID,A. Correa,25,171cm,70kg,Atlético Madrid,2014,2024,82,85,€40.5M,40500000.0,€65K,65000.0,€59.5M
Argentina,GK,GK,GK,G. Rulli,28,189cm,84kg,Villarreal CF,2020,2024,82,84,€26M,26000000.0,€35K,35000.0,€42.4M
Spain,CM,CM,MID,Fabián,24,189cm,70kg,Napoli,2018,2023,82,88,€48M,48000000.0,€70K,70000.0,€57M
Czech Republic,GK,GK,GK,T. Vaclík,31,188cm,85kg,Sevilla FC,2018,2021,82,82,€16M,16000000.0,€29K,29000.0,€29.4M
Brazil,GK,GK,GK,Raphaelito Anjos,32,190cm,85kg,Grêmio,2019,2023,82,82,€15M,15000000.0,€32K,32000.0,€25.7M
England,CB,CB,DEF,H. Maguire,27,194cm,100kg,Manchester United,2019,2024,82,85,€34.5M,34500000.0,€120K,120000.0,€47.4M
Netherlands,"CB, CDM, LB",CB,DEF,D. Blind,30,180cm,72kg,Ajax,2018,2022,82,82,€25M,25000000.0,€23K,23000.0,€25.2M
England,GK,GK,GK,N. Pope,28,200cm,76kg,Burnley,2016,2023,82,83,€24M,24000000.0,€59K,59000.0,€36.5M
Spain,"ST, CAM",ST,ATT,Rodrigo,29,182cm,77kg,Leeds United,2020,2024,82,82,€30.5M,30500000.0,€140K,140000.0,€44M
France,GK,GK,GK,A. Areola,27,195cm,94kg,Fulham,Jun ,Loan,82,86,€32M,32000000.0,€71K,71000.0,€0
Russia,"RWB, RM",RWB,DEF,Mário Fernandes,29,187cm,80kg,PFC CSKA Moscow,2012,2022,82,82,€27M,27000000.0,€60K,60000.0,€29.6M
Brazil,GK,GK,GK,Neto,30,190cm,84kg,FC Barcelona,2019,2023,82,82,€20.5M,20500000.0,€125K,125000.0,€30.8M
Italy,GK,GK,GK,M. Perin,27,188cm,77kg,Genoa,2018,2022,82,84,€28M,28000000.0,€20K,20000.0,€34.7M
Argentina,GK,GK,GK,A. Marchesín,32,188cm,85kg,FC Porto,2019,2023,82,82,€15M,15000000.0,€16K,16000.0,€27M
Colombia,"CAM, RW",CAM,MID,J. Rodríguez,28,180cm,75kg,Everton,2020,2022,82,82,€30.5M,30500000.0,€105K,105000.0,€42.8M
Portugal,"CDM, CM",CDM,MID,Danilo Pereira,28,188cm,83kg,Paris Saint-Germain,Jun ,Loan,82,82,€27M,27000000.0,€20K,20000.0,€0
Spain,ST,ST,ATT,Morata,27,190cm,84kg,Juventus,2020,2023,82,83,€35.5M,35500000.0,€100K,100000.0,€44.9M
Brazil,CB,CB,DEF,Gabriel Paulista,29,185cm,72kg,Valencia CF,2017,2022,82,83,€28M,28000000.0,€46K,46000.0,€45.7M
Spain,"CM, LM, RM",CAM,MID,Canales,29,176cm,65kg,Real Betis,2018,2023,82,82,€29.5M,29500000.0,€36K,36000.0,€45.2M
Germany,"RM, RW",RM,MID,K. Bellarabi,30,184cm,81kg,Bayer 04 Leverkusen,2011,2023,82,82,€29.5M,29500000.0,€79K,79000.0,€35.7M
Germany,GK,GK,GK,O. Baumann,30,187cm,82kg,TSG 1899 Hoffenheim,2014,2023,82,82,€20.5M,20500000.0,€37K,37000.0,€25.5M
Spain,GK,GK,GK,Sergio Asenjo,31,189cm,87kg,Villarreal CF,2014,2022,82,82,€16M,16000000.0,€34K,34000.0,€29.4M
Germany,"RB, CDM, CM",RB,DEF,L. Bender,31,185cm,78kg,Bayer 04 Leverkusen,2009,2021,82,82,€22M,22000000.0,€72K,72000.0,€27.2M
Italy,GK,GK,GK,G. Buffon,42,192cm,92kg,Juventus,2019,2021,82,82,€3.4M,3400000.0,€41K,41000.0,€3.6M
Wales,"CM, CAM",CM,MID,A. Ramsey,29,183cm,76kg,Juventus,2019,2023,82,82,€29.5M,29500000.0,€100K,100000.0,€35.5M
Spain,CB,CB,DEF,Raúl Albiol,34,187cm,74kg,Villarreal CF,2019,2022,82,82,€10M,10000000.0,€41K,41000.0,€16.8M
Germany,"CAM, RW",CAM,MID,M. Özil,31,180cm,71kg,Arsenal,2013,2021,82,82,€25M,25000000.0,€100K,100000.0,€37.1M
France,"LW, CAM",LW,ATT,D. Payet,33,175cm,77kg,Olympique de Marseille,2017,2024,82,82,€19M,19000000.0,€59K,59000.0,€25.7M
Croatia,CM,CM,MID,I. Rakitić,32,184cm,78kg,Sevilla FC,2020,2024,82,82,€24M,24000000.0,€39K,39000.0,€35.7M
Brazil,"RW, LW, RM",RW,ATT,Willian,31,175cm,77kg,Arsenal,2020,2023,82,82,€25M,25000000.0,€110K,110000.0,€37.1M
Austria,ST,ST,ATT,M. Arnautović,31,192cm,83kg,Shanghai SIPG FC,2019,2022,82,82,€25.5M,25500000.0,€24K,24000.0,€32M
Uruguay,GK,GK,GK,F. Muslera,34,190cm,74kg,Galatasaray SK,2011,2021,82,82,€5M,5000000.0,€64K,64000.0,€18.1M
Serbia,LB,LB,DEF,A. Kolarov,34,187cm,81kg,Inter,2020,2021,82,82,€11M,11000000.0,€105K,105000.0,€13.6M
Germany,CB,CB,DEF,J. Boateng,31,192cm,90kg,FC Bayern München,2011,2021,82,82,€21M,21000000.0,€82K,82000.0,€27.2M
Croatia,"LM, LW",LM,MID,I. Perišić,31,186cm,80kg,Inter,2015,2022,82,82,€25M,25000000.0,€115K,115000.0,€33.2M
France,"CM, LM",CAM,MID,H. Aouar,22,175cm,70kg,Olympique Lyonnais,2016,2023,81,89,€57.5M,57500000.0,€65K,65000.0,€54.6M
Italy,RM,RM,MID,M. Lazzari,26,174cm,67kg,Lazio,2019,2024,81,82,€30.5M,30500000.0,€70K,70000.0,€37.3M
Spain,"LM, LB",LM,MID,Cucurella,21,172cm,66kg,Getafe CF,2020,2023,81,89,€58M,58000000.0,€28K,28000.0,€61M
Portugal,CB,CB,DEF,Rúben Dias,23,187cm,82kg,Manchester City,2020,2023,81,87,€37M,37000000.0,€105K,105000.0,€45.1M
France,"LM, LW",LM,MID,M. Diaby,20,170cm,67kg,Bayer 04 Leverkusen,2019,2024,81,88,€51M,51000000.0,€54K,54000.0,€47.5M
Spain,"RM, LM, CF",RM,MID,Ferran Torres,20,184cm,77kg,Manchester City,2020,2025,81,89,€56.5M,56500000.0,€95K,95000.0,€54.3M
Portugal,"CF, ST",CAM,MID,João Félix,20,181cm,70kg,Atlético Madrid,2019,2026,81,93,€62.5M,62500000.0,€52K,52000.0,€72M
Brazil,LB,LB,DEF,Renan Lodi,22,173cm,70kg,Atlético Madrid,2019,2025,81,87,€38.5M,38500000.0,€49K,49000.0,€48.4M
Brazil,"RM, RW",LM,MID,Raphinha,23,176cm,68kg,Leeds United,2020,2024,81,85,€37M,37000000.0,€100K,100000.0,€47.7M
Venezuela,ST,ST,ATT,J. Martínez,27,170cm,69kg,Atlanta United,2017,2023,81,82,€30M,30000000.0,€14K,14000.0,€33.1M
Canada,"LB, LM, RM",LB,DEF,A. Davies,19,181cm,72kg,FC Bayern München,2019,2025,81,89,€53M,53000000.0,€40K,40000.0,€41.6M
Brazil,"CDM, CM, CAM",CDM,MID,Rosberto Dourado,20,175cm,70kg,Atlético Mineiro,2019,2023,81,81,€25.5M,25500000.0,€31K,31000.0,€33.3M
Brazil,"ST, LW, RM",ST,ATT,Richarlison,23,181cm,71kg,Everton,2018,2024,81,88,€52M,52000000.0,€90K,90000.0,€53.6M
Brazil,ST,ST,ATT,Oswaldinato,28,184cm,79kg,Flamengo,2019,2023,81,81,€26.5M,26500000.0,€56K,56000.0,€33.3M
Brazil,"CAM, CM, ST",CAM,MID,Nuno Padrenda,24,180cm,75kg,Palmeiras,2019,2023,81,81,€29.5M,29500000.0,€43K,43000.0,€35.1M
Brazil,"LB, LM",LB,DEF,Welington Dano,20,178cm,69kg,lub,Free,Free,81,81,€0,0.0,€0,0.0,€0
Brazil,"ST, CF",ST,ATT,Louri Beretta,28,188cm,83kg,Atlético Mineiro,2019,2023,81,81,€26.5M,26500000.0,€53K,53000.0,€35.2M
Brazil,"LWB, LB",LWB,DEF,Adryan Zonta,28,172cm,68kg,São Paulo,2019,2023,81,81,€23.5M,23500000.0,€48K,48000.0,€28.5M
Brazil,"CB, CDM",CB,DEF,Juiano Mestres,24,181cm,82kg,lub,Free,Free,81,81,€0,0.0,€0,0.0,€0
England,LB,LB,DEF,B. Chilwell,23,178cm,77kg,Chelsea,2020,2025,81,85,€34.5M,34500000.0,€79K,79000.0,€40.5M
United States,"LW, RW, LM",RM,MID,C. Pulisic,21,177cm,69kg,Chelsea,2019,2024,81,87,€41.5M,41500000.0,€83K,83000.0,€51.5M
Czech Republic,"CDM, CM",CDM,MID,T. Souček,25,192cm,86kg,West Ham United,2020,2024,81,86,€34.5M,34500000.0,€46K,46000.0,€42.5M
Serbia,GK,GK,GK,M. Dmitrović,28,194cm,94kg,SD Eibar,2017,2021,81,82,€20.5M,20500000.0,€30K,30000.0,€32.6M
Netherlands,ST,ST,ATT,W. Weghorst,27,197cm,84kg,VfL Wolfsburg,2018,2023,81,81,€28M,28000000.0,€62K,62000.0,€32.3M
France,CB,CB,DEF,P. Kimpembe,24,189cm,80kg,Paris Saint-Germain,2015,2024,81,85,€33M,33000000.0,€69K,69000.0,€40.4M
Spain,RB,RB,DEF,Capa,28,175cm,75kg,Athletic Club de Bilbao,2018,2022,81,81,€23.5M,23500000.0,€31K,31000.0,€31.5M
England,LB,LB,DEF,L. Shaw,24,181cm,75kg,Manchester United,2014,2023,81,83,€31M,31000000.0,€95K,95000.0,€37.5M
Belgium,CM,CM,MID,Y. Tielemans,23,176cm,72kg,Leicester City,2019,2023,81,85,€36.5M,36500000.0,€82K,82000.0,€45.4M
Italy,"RM, RW, ST",RM,MID,M. Politano,26,171cm,67kg,Napoli,Jun ,Loan,81,81,€28M,28000000.0,€105K,105000.0,€0
England,"CAM, CM, LW",CAM,MID,J. Maddison,23,175cm,73kg,Leicester City,2018,2024,81,85,€37M,37000000.0,€82K,82000.0,€45.4M
Guinea,CM,CAM,MID,N. Keïta,25,172cm,64kg,Liverpool,2018,2023,81,85,€35.5M,35500000.0,€95K,95000.0,€43.3M
Brazil,LM,CAM,MID,Everton,24,174cm,72kg,SL Benfica,2020,2025,81,86,€39M,39000000.0,€17K,17000.0,€49.8M
Uruguay,"CDM, CM",CDM,MID,L. Torreira,24,166cm,60kg,Atlético Madrid,Jun ,Loan,81,85,€33.5M,33500000.0,€74K,74000.0,€0
Spain,"ST, RW",ST,ATT,Iñaki Williams,26,186cm,79kg,Athletic Club de Bilbao,2012,2028,81,84,€34M,34000000.0,€35K,35000.0,€48.9M
Colombia,CB,CB,DEF,D. Sánchez,24,187cm,79kg,Tottenham Hotspur,2017,2024,81,84,€31.5M,31500000.0,€79K,79000.0,€39.5M
Spain,LWB,LWB,DEF,Jonny,26,170cm,70kg,Wolverhampton Wanderers,2019,2023,81,84,€31M,31000000.0,€86K,86000.0,€38.5M
Argentina,"CM, CAM",CM,MID,I. Fernández,30,182cm,70kg,River Plate,2016,2023,81,81,€24.5M,24500000.0,€24K,24000.0,€23.1M
Argentina,"CF, ST, CAM",CAM,MID,J. Correa,25,188cm,77kg,Lazio,2018,2024,81,84,€34.5M,34500000.0,€73K,73000.0,€39.9M
Argentina,GK,GK,GK,W. Benítez,27,191cm,93kg,OGC Nice,2016,2023,81,84,€25.5M,25500000.0,€35K,35000.0,€30.6M
France,"LM, CAM, RM",CAM,MID,T. Lemar,24,171cm,66kg,Atlético Madrid,2018,2023,81,85,€37M,37000000.0,€54K,54000.0,€48.9M
Greece,GK,GK,GK,O. Vlachodimos,26,188cm,77kg,SL Benfica,2018,2024,81,86,€29.5M,29500000.0,€14K,14000.0,€36.3M
France,ST,ST,ATT,M. Dembélé,23,183cm,74kg,Olympique Lyonnais,2018,2023,81,85,€37.5M,37500000.0,€72K,72000.0,€46.4M
France,"CM, CDM",CM,MID,A. Rabiot,25,192cm,80kg,Juventus,2019,2024,81,82,€30.5M,30500000.0,€83K,83000.0,€36.2M
Brazil,"CDM, CM",CM,MID,Fred,27,169cm,62kg,Manchester United,2018,2023,81,83,€28M,28000000.0,€115K,115000.0,€37.5M
Portugal,"LM, ST",LM,MID,Gonçalo Guedes,23,179cm,68kg,Valencia CF,2018,2024,81,87,€40.5M,40500000.0,€39K,39000.0,€56.4M
Netherlands,"CDM, CM",CDM,MID,M. de Roon,29,185cm,76kg,Atalanta,2017,2021,81,81,€22M,22000000.0,€63K,63000.0,€25.5M
France,"RB, CB",CB,DEF,B. Pavard,24,186cm,76kg,FC Bayern München,2019,2024,81,85,€34.5M,34500000.0,€65K,65000.0,€35.4M
Denmark,"CDM, CM",CB,DEF,T. Delaney,28,182cm,79kg,Borussia Dortmund,2018,2022,81,81,€22.5M,22500000.0,€64K,64000.0,€27.2M
Spain,GK,GK,GK,Jordi Masip,31,180cm,68kg,Real Valladolid CF,2017,2022,81,81,€13.5M,13500000.0,€21K,21000.0,€24.2M
Switzerland,RM,RM,MID,X. Shaqiri,28,169cm,72kg,Liverpool,2018,2023,81,81,€26M,26000000.0,€105K,105000.0,€33.3M
Uruguay,CB,CB,DEF,S. Coates,29,196cm,92kg,Sporting CP,2017,2023,81,81,€21.5M,21500000.0,€19K,19000.0,€30M
Slovenia,"CM, CDM, CAM",CM,MID,K. Kampl,29,178cm,66kg,RB Leipzig,2017,2023,81,81,€25M,25000000.0,€65K,65000.0,€28.9M
Italy,GK,GK,GK,A. Cragno,26,184cm,78kg,Cagliari,2014,2024,81,85,€27.5M,27500000.0,€32K,32000.0,€29.3M
Germany,CB,CB,DEF,A. Rüdiger,27,190cm,85kg,Chelsea,2017,2022,81,83,€27.5M,27500000.0,€90K,90000.0,€36.5M
Poland,ST,ST,ATT,A. Milik,26,186cm,78kg,Napoli,2016,2021,81,84,€34M,34000000.0,€81K,81000.0,€39.9M
England,GK,GK,GK,J. Pickford,26,185cm,77kg,Everton,2017,2024,81,84,€26M,26000000.0,€70K,70000.0,€31.6M
Montenegro,CB,CB,DEF,S. Savić,29,187cm,80kg,Atlético Madrid,2015,2022,81,82,€24M,24000000.0,€60K,60000.0,€36.1M
Israel,"ST, LM",ST,ATT,E. Zahavi,32,182cm,71kg,PSV,2020,2022,81,81,€21M,21000000.0,€27K,27000.0,€19.6M
Colombia,RB,RB,DEF,S. Arias,28,178cm,72kg,Bayer 04 Leverkusen,Jun ,Loan,81,81,€23.5M,23500000.0,€60K,60000.0,€0
Italy,RB,RB,DEF,A. Florenzi,29,173cm,67kg,Paris Saint-Germain,2010,2023,81,81,€22.5M,22500000.0,€85K,85000.0,€26.8M
Spain,"RW, CAM",CAM,MID,Suso,26,176cm,70kg,Sevilla FC,2020,2025,81,81,€28M,28000000.0,€39K,39000.0,€39.9M
France,LB,LWB,DEF,B. Mendy,25,185cm,85kg,Manchester City,2017,2022,81,84,€31.5M,31500000.0,€115K,115000.0,€37.5M
Brazil,"LM, CAM",LM,MID,Felipe Anderson,27,175cm,70kg,FC Porto,Jun ,Loan,81,81,€27.5M,27500000.0,€53K,53000.0,€0
Republic of Ireland,"RWB, RB",RWB,DEF,M. Doherty,28,182cm,87kg,Tottenham Hotspur,2020,2024,81,81,€23.5M,23500000.0,€95K,95000.0,€28.5M
Germany,"ST, RW, LW",ST,ATT,K. Volland,27,179cm,85kg,AS Monaco,2020,2024,81,81,€28M,28000000.0,€68K,68000.0,€36.1M
Spain,ST,ST,ATT,Paco Alcácer,26,175cm,72kg,Villarreal CF,2020,2025,81,82,€31M,31000000.0,€45K,45000.0,€45.7M
Netherlands,RW,CAM,MID,S. Berghuis,28,182cm,75kg,Feyenoord,2017,2022,81,81,€26M,26000000.0,€23K,23000.0,€25.2M
Netherlands,GK,GK,GK,J. Cillessen,31,185cm,83kg,Valencia CF,2019,2023,81,81,€13.5M,13500000.0,€33K,33000.0,€24.2M
Spain,"RW, CAM",RW,ATT,Pablo Sarabia,28,174cm,70kg,Paris Saint-Germain,2019,2024,81,81,€26M,26000000.0,€100K,100000.0,€33.3M
Belgium,"RB, RM",RB,DEF,T. Meunier,28,190cm,82kg,Borussia Dortmund,2020,2024,81,81,€23.5M,23500000.0,€64K,64000.0,€25.5M
France,ST,ST,ATT,S. Haller,26,190cm,82kg,West Ham United,2019,2024,81,83,€32.5M,32500000.0,€58K,58000.0,€43.5M
Belgium,GK,GK,GK,S. Mignolet,32,193cm,87kg,Club Brugge KV,2019,2025,81,81,€13M,13000000.0,€26K,26000.0,€15.4M
Brazil,LB,LB,DEF,Ismaily,30,177cm,86kg,Shakhtar Donetsk,2013,2023,81,81,€22M,22000000.0,€1K,1000.0,€29.4M
Spain,CAM,CAM,MID,Jonathan Viera,30,171cm,67kg,Beijing Sinobo Guoan FC,2018,2021,81,81,€25M,25000000.0,€28K,28000.0,€27.2M
Germany,"CB, CDM",CB,DEF,S. Bender,31,186cm,81kg,Bayer 04 Leverkusen,2017,2021,81,81,€17.5M,17500000.0,€66K,66000.0,€22.1M
Colombia,"RB, RM, RW",RW,ATT,J. Cuadrado,32,179cm,72kg,Juventus,2015,2022,81,81,€18M,18000000.0,€80K,80000.0,€18.2M
Spain,"CM, CAM",CAM,MID,Iniesta,36,171cm,68kg,Vissel Kobe,2018,2021,81,81,€8M,8000000.0,€12K,12000.0,€7.2M
Spain,"LB, LWB",LB,DEF,Marcos Alonso,29,188cm,85kg,Chelsea,2016,2023,81,81,€22.5M,22500000.0,€95K,95000.0,€27.6M
Germany,"CAM, CM",CAM,MID,M. Götze,28,176cm,75kg,PSV,2020,2022,81,81,€26M,26000000.0,€26K,26000.0,€25.2M
Argentina,"RM, RW",RM,MID,E. Salvio,29,172cm,68kg,Boca Juniors,2019,2022,81,81,€25.5M,25500000.0,€26K,26000.0,€24.5M
Ukraine,"RM, CAM",RM,MID,Marlos,32,174cm,76kg,Shakhtar Donetsk,2014,2021,81,81,€20.5M,20500000.0,€2K,2000.0,€29.4M
Germany,"CAM, ST",CAM,MID,M. Kruse,32,180cm,76kg,1. FC Union Berlin,2020,2023,81,81,€20.5M,20500000.0,€42K,42000.0,€25.2M
